Team,Odds
michigan-state,5/1
villanova,6/1
virginia,7/1
duke,8/1
purdue,10/1
arizona,14/1
ohio-state,14/1
cincinnati,16/1
xavier,18/1
north-carolina,20/1
tennessee,20/1
texas-tech,20/1
wichita-state,25/1
kansas,25/1
west-virginia,25/1
gonzaga,25/1
florida,33/1
alabama,33/1
auburn,33/1
texas-a&m,33/1
oklahoma,40/1
kentucky,50/1
saint-mary's-(ca),50/1
michigan,50/1
florida-state,50/1
rhode-island,50/1
north-carolina-state,50/1
ucla,66/1
baylor,66/1
seton-hall,66/1
clemson,66/1
miami-fl,80/1
missouri,80/1
texas,80/1
louisville,100/1
oregon,100/1
usc,100/1
nevada,100/1
arizona-state,100/1
indiana,125/1
tcu,125/1
maryland,125/1
creighton,125/1
houston,125/1
kansas-state,125/1
arkansas,150/1
mississippi-state,150/1
virginia-tech,200/1
middle-tennessee,200/1
st-johns,200/1
iowa-state,200/1
butler,250/1
smu,250/1
providence,250/1
georgia-tech,250/1
georgia,250/1
loyola-chicago,250/1
syracuse,250/1
oklahoma-state,250/1
stanford,250/1
marquette,250/1
new-mexico-state,250/1
washington,250/1
boston-college,250/1
ucf,500/1
harvard,500/1
boise-state,500/1
vermont,500/1
florida-gulf-coast,500/1
east-tennessee-state,1000/1
louisiana,1000/1
montana,1000/1
unc-asheville,1000/1
uc-santa-barbara,1000/1
charleston,1000/1
wright-state,1000/1
pennsylvania,1000/1
rider,1000/1
buffalo,1000/1
toledo,1000/1
north-carolina-a&t,1000/1
wagner,1000/1
belmont,1000/1
bucknell,1000/1
nicholls,1000/1
arkansas-pine-bluff,1000/1
south-dakota-state,1000/1
